FUNDOS,TIPO,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,DIVIDEND YIELD,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (12M) MÉDIA,VARIAÇÃO PREÇO,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
GSFI11,SHOPPING,"7,79","1.667.064,79","0,55","0,03 %","0,03 %","0,01 %","0,00 %","0,00 %","1.076.308.694,19","11,90","0,65","0,01 %","0,01 %",9,"19,66",7.697,N/A,N/A,N/A
MGLG11,TIJOLO,"40,99","55.314,19","0,55","0,86 %","11,69 %","0,86 %","0,97 %","-3,60 %","116.088.485,68","61,55","0,67","0,57 %","57,54 %",2,"27,79",3.712,N/A,N/A,N/A
RMAI11,TIJOLO,"55,00","149.909,90","0,54","0,51 %","6,37 %","0,51 %","0,53 %","-1,94 %","242.516.611,86","99,24","0,55","0,26 %","-7,99 %",2,"60,63",1.185,N/A,N/A,N/A
FZDA11,TIJOLO,"121,00","109.270,97","0,54","1,90 %","1,90 %","1,90 %","1,90 %","0,00 %","345.004.615,19","101,94","1,19","2,21 %","0,00 %",0,"56,12",431,N/A,N/A,N/A
BLMO11,TIJOLO,"18.000,00","288.155,60","0,54","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","126.735.126,05","33.377,70","0,54","0,31 %","12,74 %",1,"55,38",89,N/A,N/A,N/A
FPAB11,TIJOLO,"203,00","6.986,34","0,53","0,45 %","12,30 %","1,31 %","1,03 %","-1,18 %","280.823.220,57","374,43","0,54","0,24 %","-0,16 %",2,"55,69",950,N/A,N/A,N/A
BTRA11,TIJOLO,"64,70","596.646,94","0,52","0,80 %","11,40 %","0,74 %","0,95 %","-6,39 %","421.960.309,33","125,65","0,51","0,45 %","-9,41 %",5,"22,74",21.552,N/A,N/A,N/A
SARE11,MISTO,"48,00","1.563.077,24","0,51","0,86 %","11,30 %","0,85 %","0,94 %","-5,73 %","872.363.282,83","94,47","0,51","0,48 %","0,11 %",3,"20,76",45.498,N/A,N/A,N/A
RNGO11,TIJOLO,"44,54","122.939,18","0,50","0,82 %","10,13 %","0,77 %","0,84 %","-6,99 %","232.395.692,21","86,84","0,51","0,41 %","0,23 %",4,"13,81",10.893,N/A,N/A,N/A
WTSP11B,MISTO,"36,00","1.728,25","0,50","0,00 %","6,28 %","0,36 %","0,52 %","0,00 %","72.080.155,30","72,62","0,50","0,41 %","0,19 %",2,"104,65",201,N/A,N/A,N/A
RBVO11,PAPEL,"8,33","2.088,91","0,47","0,35 %","2,10 %","0,27 %","0,18 %","0,71 %","9.174.979,09","17,79","0,47","0,17 %","2,65 %",0,"38,87",2.556,N/A,N/A,N/A
RECT11,TIJOLO,"43,35","488.529,73","0,47","0,88 %","10,90 %","0,82 %","0,91 %","-7,66 %","790.620.382,28","92,54","0,47","0,43 %","-1,22 %",9,"19,15",71.266,N/A,N/A,N/A
FMOF11,TIJOLO,"54,00","1.632,21","0,45","0,00 %","5,09 %","0,18 %","0,42 %","0,00 %","60.473.389,10","118,65","0,46","0,13 %","0,05 %",2,"62,28",276,N/A,N/A,N/A
BBFI11B,TIJOLO,"947,96","134.272,88","0,44","0,78 %","13,41 %","0,69 %","1,12 %","-2,30 %","279.221.388,09","2.147,86","0,44","0,35 %","-0,86 %",2,"49,96",7.845,N/A,N/A,N/A
DEVA11,PAPEL,"40,94","1.880.384,79","0,42","1,24 %","13,08 %","1,03 %","1,09 %","-20,75 %","1.364.460.097,00","97,15","0,42","0,50 %","-4,10 %",0,"38,98",131.028,N/A,N/A,N/A
SCPF11,SHOPPING,"4,95","2.281,21","0,42","0,38 %","5,52 %","0,42 %","0,46 %","0,00 %","49.080.846,89","11,69","0,42","0,16 %","-0,17 %",1,"39,73",5.118,N/A,N/A,N/A
RELG11,TIJOLO,"51,22","78.686,82","0,41","0,99 %","12,21 %","1,02 %","1,02 %","-1,19 %","165.586.668,52","121,67","0,42","0,58 %","-0,35 %",5,"26,80",6.522,N/A,N/A,N/A
CBOP11,TIJOLO,"30,01","50.277,33","0,41","0,38 %","6,82 %","0,36 %","0,57 %","-2,12 %","104.417.919,59","73,79","0,41","0,16 %","-0,04 %",1,"20,60",3.287,N/A,N/A,N/A
CTXT11,TIJOLO,"12,25","1.637,42","0,40","0,04 %","4,78 %","0,21 %","0,40 %","1,00 %","106.747.528,03","48,33","0,25","0,19 %","-0,10 %",1,"43,54",2.854,N/A,N/A,N/A
PRSV11,TIJOLO,"77,53","2.139,60","0,37",N/A,N/A,N/A,N/A,N/A,"40.681.684,36","364,23","0,21","0,44 %","-0,03 %",1,"59,92",967,N/A,N/A,N/A
EDGA11,TIJOLO,"22,07","46.019,76","0,36","0,34 %","6,91 %","0,33 %","0,58 %","-0,83 %","233.412.008,92","61,24","0,36","0,11 %","-0,10 %",1,"32,76",5.389,N/A,N/A,N/A
