FUNDOS,TIPO,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,DIVIDEND YIELD,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (12M) MÉDIA,VARIAÇÃO PREÇO,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
MGRI11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","24.159.354,76",N/A,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A
MMPD11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","57.974.030,58",N/A,N/A,N/A,N/A,0,N/A,55,N/A,N/A,N/A
OPTM11,MISTO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11.172.349,93",N/A,N/A,N/A,N/A,0,N/A,63,N/A,N/A,N/A
PABY11,DESENVOLVIMENTO,"24,70","966,84",N/A,N/A,N/A,N/A,N/A,N/A,"-15.347.784,94","251,42","0,10","0,00 %","1,74 %",15,"136,40",667,N/A,N/A,N/A
PATB11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","657.509.552,45",N/A,N/A,N/A,N/A,3,N/A,56,N/A,N/A,N/A
PFIN11,N/A,"69,62","812.296,06",N/A,"1,43 %","21,66 %","1,50 %","2,17 %","15,31 %",N/A,N/A,N/A,N/A,N/A,0,"20,43",0,N/A,N/A,N/A
PICE11,N/A,"71,82","348.455,79",N/A,"0,80 %","10,80 %","0,78 %","0,90 %","-6,89 %",N/A,N/A,N/A,N/A,N/A,0,"18,29",0,N/A,N/A,N/A
PMFO11,MISTO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","49.535.538,30",N/A,N/A,N/A,N/A,0,N/A,92,N/A,N/A,N/A
PNCR11,TIJOLO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"45.086.785,63",N/A,N/A,N/A,N/A,0,N/A,110,N/A,N/A,N/A
PPEI11,N/A,"88,06","361.853,88",N/A,"4,62 %","15,27 %","4,55 %","5,09 %","4,30 %",N/A,N/A,N/A,N/A,N/A,0,"22,18",0,N/A,N/A,N/A
RBCO11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"90,22",N/A,"0,22 %","1,03 %",0,N/A,0,N/A,N/A,N/A
RBIF11,DESENVOLVIMENTO,"98,00","35.460,45",N/A,"0,90 %","9,94 %","1,10 %","0,83 %","-1,08 %",N/A,N/A,N/A,N/A,N/A,0,"39,73",0,N/A,N/A,N/A
RURA11,MISTO,"10,60","2.366.481,48",N/A,"1,14 %","13,95 %","1,16 %","1,16 %","-0,47 %",N/A,N/A,N/A,N/A,N/A,0,"13,04",0,N/A,N/A,N/A
SHSO11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","19.378.353,50",N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A
SNID11,DESENVOLVIMENTO,"100,94","186.276,21",N/A,"1,13 %","9,64 %","1,13 %","0,80 %","0,30 %",N/A,N/A,N/A,N/A,N/A,0,"4,24",0,N/A,N/A,N/A
SPVJ11,SHOPPING,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","732.972.044,48","116,12",N/A,"0,58 %","-0,10 %",15,N/A,27,N/A,N/A,N/A
VIDS11,DESENVOLVIMENTO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","78.969.484,35",N/A,N/A,N/A,N/A,0,N/A,199,N/A,N/A,N/A
VIGT11,N/A,"74,90","676.548,55",N/A,"3,04 %","27,00 %","3,19 %","3,38 %","0,06 %",N/A,N/A,N/A,N/A,N/A,0,"15,36",0,N/A,N/A,N/A
VJFD11,PAPEL,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","665.079.245,48","136,39",N/A,"0,55 %","0,24 %",39,N/A,97,N/A,N/A,N/A
VLIQ11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A
VTPL11,PAPEL,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","106.726.272,49",N/A,N/A,N/A,N/A,2,N/A,53,N/A,N/A,N/A
XPID11,DESENVOLVIMENTO,"87,25","852.899,06",N/A,"0,50 %","7,83 %","0,61 %","0,65 %","-0,53 %",N/A,N/A,N/A,N/A,N/A,0,"10,64",0,N/A,N/A,N/A
XPIE11,N/A,"77,88","1.638.637,55",N/A,"0,75 %","29,96 %","0,95 %","2,72 %","-5,26 %",N/A,N/A,N/A,N/A,N/A,0,"12,52",0,N/A,N/A,N/A
YUFI11B,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"105,53",N/A,"0,60 %","-0,01 %",0,N/A,N/A,N/A,N/A,N/A
?,?,"42,00",1.027,"0,60","1,57 %","15,34 %","1,06 %","1,28 %","-7,79 %",39.778.168,N/A,N/A,N/A,N/A,0,"67,71",373,N/A,N/A,N/A
?,?,"9,74","4.527.574,42","1,01","1,20 %","15,22 %","1,25 %","1,27 %","2,68 %",994.767.385,"9,64","1,01","1,24 %","0,00 %",0,"10,43",226.183,N/A,N/A,N/A
?,?,"103,00","213.783,30","1,09","0,39 %","0,39 %","0,39 %","0,39 %","0,00 %",167.038.269,N/A,N/A,N/A,N/A,1,"85,27",286,N/A,N/A,N/A
?,?,"110,72","15.546.428,15","0,99","0,76 %","9,50 %","0,76 %","0,71 %","-1,06 %",3.461.722.290,"112,31","0,99","0,76 %","11,26 %",2,"13,99",370.163,N/A,N/A,N/A
?,?,"105,05",N/A,"0,83","0,65 %","7,83 %","0,66 %","0,65 %","1,88 %",N/A,"100,97","0,9","0,69 %","-2,34 %",4,"18,04",220,N/A,N/A,N/A
